Address,URL,Title
Chelsea,https://newyork.craigslist.org/mnh/egr/d/project-manager/6320108234.html,Project Manager
Norwalk,https://newyork.craigslist.org/fct/egr/d/interior-designer-corporate/6319937133.html,INTERIOR DESIGNER - Corporate Interiors
Midtown West,https://newyork.craigslist.org/mnh/egr/d/mechanical-design-engineer/6318722773.html,MECHANICAL DESIGN ENGINEER - EXPERT IN SOLIDWORKS OR PROE
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6318226367.html,Facade / Building Envelope Project Architect or Engineer
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6318224910.html,Exterior Restoration / Recent Graduate
TriBeCa,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6318223703.html,Facade / Building Envelope Engineer or Architect
Queens,https://newyork.craigslist.org/que/egr/d/miscellaneous-steel-detailer/6317795229.html,Miscellaneous Steel Detailer
Flatiron,https://newyork.craigslist.org/mnh/egr/d/architect/6317174486.html,architect
,https://newyork.craigslist.org/mnh/egr/d/jr-estimator-quantity-surveyor/6316989125.html,JR Estimator/Quantity Surveyor
Flatiron,https://newyork.craigslist.org/mnh/egr/d/architectural-interior-design/6316946265.html,Architectural / Interior Design Internship
"Huntington Station, NY",https://newyork.craigslist.org/lgi/egr/d/architectural-draftsperson/6316871692.html,Architectural Draftsperson/Project Manager
Brooklyn,https://newyork.craigslist.org/brk/egr/d/seeking-full-time-structural/6316788103.html,Seeking Full Time Structural Engineer
Midtown East,https://newyork.craigslist.org/mnh/egr/d/assistant-project-manager-for/6316699356.html,Assistant Project Manager for Design Company
Brooklyn,https://newyork.craigslist.org/brk/egr/d/project-engineer-for/6316591317.html,Project Engineer For Construction
NYC,https://newyork.craigslist.org/mnh/egr/d/sr-electrical-engineer/6316366688.html,Sr. Electrical Engineer
KEW GARDENS,https://newyork.craigslist.org/que/egr/d/license-professional-engineer/6316232075.html,LICENSE PROFESSIONAL ENGINEER NEEDED FOR BUSY QUEENS OFFICE
bronx,https://newyork.craigslist.org/brx/egr/d/construction-estimator/6315589624.html,Construction Estimator
New Rochelle,https://newyork.craigslist.org/wch/egr/d/autocad-draftsman/6315484859.html,AUTOCAD DRAFTSMAN
Chinatown / Lit Italy,https://newyork.craigslist.org/mnh/egr/d/architect-assistant-and-cad/6315427473.html,Architect Assistant and Cad Draftperson
Midtown,https://newyork.craigslist.org/mnh/egr/d/bim-cad-technician/6315394313.html,BIM/ CAD Technician
Chelsea,https://newyork.craigslist.org/mnh/egr/d/trainee-project-manager/6315375406.html,Trainee Project Manager
5 Boros,https://newyork.craigslist.org/que/egr/d/construction-estimator/6315259744.html,Construction Estimator
Midtown,https://newyork.craigslist.org/mnh/egr/d/executive-administrator/6315158061.html,Executive Administrator
Upper East Side,https://newyork.craigslist.org/mnh/egr/d/project-management-logistics/6315135801.html,Project Management/Logistics-Furniture Company
Chelsea,https://newyork.craigslist.org/mnh/egr/d/engineer/6315073072.html,Engineer
Flatiron,https://newyork.craigslist.org/mnh/egr/d/junior-architect/6315040944.html,Junior Architect
"Queens, NY",https://newyork.craigslist.org/que/egr/d/technical-director-pe/6314978739.html,"Technical Director, P.E."
Midtown West,https://newyork.craigslist.org/mnh/egr/d/mep-electrical-engineer-low/6314966887.html,MEP Electrical Engineer -Low Voltage/IT/AV- 3+ years
Midtown West,https://newyork.craigslist.org/mnh/egr/d/architectural-firm-seeking/6314956813.html,Architectural Firm Seeking DOB Class 2 Filing Representative
,https://newyork.craigslist.org/que/egr/d/mechanical-engineer/6314851303.html,Mechanical Engineer
,https://newyork.craigslist.org/que/egr/d/project-engineer-nights/6314837149.html,Project Engineer (NIGHTS)
Midtown,https://newyork.craigslist.org/mnh/egr/d/expediter-codes-zoning/6314829864.html,Expediter - Codes/Zoning
Queens,https://newyork.craigslist.org/que/egr/d/project-manager/6314828743.html,Project Manager
Queens,https://newyork.craigslist.org/que/egr/d/estimator-asst-project-manager/6314824941.html,Estimator/Asst. Project Manager
Midtown West,https://newyork.craigslist.org/mnh/egr/d/architectural-design-firm/6314110451.html,Architectural Design Firm Seeking Experienced Associate Architect
Union Square,https://newyork.craigslist.org/mnh/egr/d/junior-architect-restoration/6313948571.html,Junior Architect - Restoration Firm
Chinatown / Lit Italy,https://newyork.craigslist.org/mnh/egr/d/junior-architect/6313693214.html,Junior Architect
"Gowanus, Brooklyn",https://newyork.craigslist.org/brk/egr/d/bklyn-based-design/6313631160.html,BKLYN Based Design/Construction Firm Seeks Sr. Construction Mgr.
Midtown East,https://newyork.craigslist.org/mnh/egr/d/energy-efficiency-engineers/6313441812.html,Energy Efficiency Engineers
Midtown West,https://newyork.craigslist.org/mnh/egr/d/mid-level-mechanical/6313421531.html,Mid Level Mechanical Engineers (2+ Years) with Project Management
Midtown West,https://newyork.craigslist.org/mnh/egr/d/sr-project-plumbing-and-fp/6313420132.html,Sr. Project Plumbing and FP Engineers
Midtown West,https://newyork.craigslist.org/mnh/egr/d/sr-mechanical-hvac-engineers/6313418074.html,Sr. Mechanical/HVAC Engineers
Chelsea,https://newyork.craigslist.org/mnh/egr/d/job-captain-intermediate/6312921492.html,JOB CAPTAIN / INTERMEDIATE ARCHITECT
Midtown West,https://newyork.craigslist.org/mnh/egr/d/design-architect/6312649099.html,Design Architect
Midtown West,https://newyork.craigslist.org/mnh/egr/d/senior-technical-architect/6312596118.html,Senior Technical Architect
Upper West Side,https://newyork.craigslist.org/mnh/egr/d/intern-student-for-small-busy/6312575394.html,Intern student for small busy office.
,https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6312565843.html,Construction Project Manager
Brooklyn,https://newyork.craigslist.org/brk/egr/d/nys-licensed-design/6312483310.html,"NYS Licensed Design Professional, Architect or Professional Engineer"
Financial District,https://newyork.craigslist.org/mnh/egr/d/nyc-dob-filing-representative/6312411033.html,NYC DOB Filing Representative Needed ASAP
Midtown West,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6312348353.html,Intermediate Architect
Mount Vernon,https://newyork.craigslist.org/wch/egr/d/industrial-engineer/6312325840.html,Industrial Engineer
